Name of Club,Market Window to Reinforce,Position,Ideal Age,Competitive Experience,Preferred Nationality,Style of Play,Salary Range,Transfer Type,Immediate Needs,Observed Players,Free Agent,Contract End Date,Injury History,Performance Statistics - Goals,Performance Statistics - Goals per Match,Performance Statistics - Assists,Performance Statistics - Assists per Match,Performance Statistics - Interceptions,Performance Statistics - Interceptions per Match,Performance Statistics - Save Percentage,International Adaptability,Availability to Travel/Relocate,Languages,Market Value,Positional Flexibility,Scouting Recommendation,International Competitions,Attitude and Character,Media or Social Media Presence,Nombre del Club,Ventana a Reforzar,Posiciones,Edad Ideal,Experiencia Competitiva,Nacionalidad Preferente,Estilo de Juego,Rango Salarial,Tipología de Incorporación,Necesidad Inmediata,Agente Libre,Fecha de Fin de Contrato,Historial de Lesiones,Estadísticas de Rendimiento - Goles,Estadísticas de Rendimiento - Goles por Partido,Estadísticas de Rendimiento - Asistencias,Estadísticas de Rendimiento - Asistencias por Partido,Estadísticas de Rendimiento - Intercepciones,Estadísticas de Rendimiento - Intercepciones por Partido,Estadísticas de Rendimiento - Porcentaje de Paradas,Adaptabilidad Internacional,Disponibilidad para Viajar/Mudarse,Idiomas,Valor de Mercado,Flexibilidad Posicional,Recomendación de Scouting,Competiciones Internacionales,Actitud y Carácter,Seguimiento en Redes Sociales,Goals per Match,Assists per Match,Interceptions per Match,Save Percentage
Manchester City,Summer Transfer Window,Goalkeeper,Under-23,['Category 1'],['Afghanistan'],,"Less than 50,000€",Loan,,[],Yes,Unspecified,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manchester City,Summer Transfer Window,Goalkeeper,Under-23,['Category 1'],['Afghanistan'],,"Less than 50,000€",Loan,,[],Yes,Unspecified,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manchester City,Summer Transfer Window,Goalkeeper,Under-23,['Category 1'],['Afghanistan'],,"Less than 50,000€",Loan,,[],Yes,Unspecified,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manchester City,Summer Transfer Window,Goalkeeper,Under-23,['Category 1'],['Afghanistan'],,"Less than 50,000€",Loan,,[],Yes,Unspecified,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manchester City,Summer Transfer Window,Goalkeeper,Under-23,['Category 1'],['Afghanistan'],,"Less than 50,000€",Loan,,[],Yes,Unspecified,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manchester City,Summer Transfer Window,Goalkeeper,Under-23,['Category 1'],['Afghanistan'],,"Less than 50,000€",Loan,,[],Yes,Unspecified,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manchester City,Summer Transfer Window,Goalkeeper,Under-23,['Category 1'],['Afghanistan'],,"Less than 50,000€",Loan,,[],Yes,Unspecified,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manchester City,Summer Transfer Window,Goalkeeper,Under-23,['Category 1'],['Afghanistan'],,"Less than 50,000€",Loan,,[],Yes,Unspecified,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manchester City,Summer Transfer Window,Goalkeeper,Under-23,['Category 1'],['Afghanistan'],,"Less than 50,000€",Loan,,[],Yes,Unspecified,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manchester City,Summer Transfer Window,Goalkeeper,Under-23,['Category 1'],['Afghanistan'],,"Less than 50,000€",Loan,,[],Yes,Unspecified,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manchester City,Summer Transfer Window,Goalkeeper,Under-23,['Category 1'],['Afghanistan'],,"Less than 50,000€",Loan,,[],Yes,Unspecified,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manchester City,Summer Transfer Window,Goalkeeper,Under-23,['Category 1'],['Afghanistan'],,"Less than 50,000€",Loan,,[],Yes,Unspecified,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manchester City,Summer Transfer Window,Goalkeeper,Under-23,['Category 1'],['Afghanistan'],,"Less than 50,000€",Loan,,[],Yes,Unspecified,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manchester City,Summer Transfer Window,Goalkeeper,Under-23,['Category 1'],['Afghanistan'],,"Less than 50,000€",Loan,,[],Yes,Unspecified,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manchester City,Summer Transfer Window,Goalkeeper,Under-23,['Category 1'],['Afghanistan'],,"Less than 50,000€",Loan,,[],Yes,Unspecified,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manchester City,Summer Transfer Window,Goalkeeper,Under-23,['Category 1'],['Afghanistan'],,"Less than 50,000€",Loan,,[],Yes,Unspecified,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manchester City,Summer Transfer Window,Goalkeeper,Under-23,['Category 1'],['Afghanistan'],,"Less than 50,000€",Loan,,[],Yes,Unspecified,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manchester City,Summer Transfer Window,Goalkeeper,Under-23,['Category 1'],['Afghanistan'],,"Less than 50,000€",Loan,,[],Yes,Unspecified,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manchester City,Summer Transfer Window,Goalkeeper,Under-23,['Category 1'],['Afghanistan'],,"Less than 50,000€",Loan,,[],Yes,Unspecified,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ventana de Transferencia Verano,Portero,Sub-23,[],[],,"Menos de 50,000€",Cesión,,Sí,Sin especificar,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sí,Sí,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ventana de Transferencia Verano,Portero,Sub-23,[],[],,"Menos de 50,000€",Cesión,,Sí,Sin especificar,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sí,Sí,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ventana de Transferencia Verano,Portero,Sub-23,[],[],,"Menos de 50,000€",Cesión,,Sí,Sin especificar,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sí,Sí,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dasdsa,Ventana de Transferencia Verano,Portero,Sub-23,[],[],,"Menos de 50,000€",Cesión,,Sí,Sin especificar,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sí,Sí,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dasdsa,Ventana de Transferencia Verano,Portero,Sub-23,[],[],,"Menos de 50,000€",Cesión,,Sí,Sin especificar,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sí,Sí,,,,,,,,,,,
dsadas,Summer Transfer Window,Goalkeeper,Under-23,['Category 1'],['Afghanistan'],,"Less than 50,000€",Loan,,[],Yes,Unspecified,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Summer Transfer Window,Goalkeeper,Under-23,['Category 1'],['Afghanistan'],,"Less than 50,000€",Loan,,[],Yes,Unspecified,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ventana de Transferencia Verano,Portero,Sub-23,[],[],,"Menos de 50,000€",Cesión,,Sí,Sin especificar,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sí,Sí,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ventana de Transferencia Verano,Portero,Sub-23,[],[],,"Menos de 50,000€",Cesión,,Sí,Sin especificar,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sí,Sí,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ventana de Transferencia Verano,Portero,Sub-23,[],[],,"Menos de 50,000€",Cesión,,Sí,Sin especificar,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sí,Sí,,,,,,,,,,,
OFI DE CRETA,Winter Transfer Window,Left Winger,Between 23-28 years,"['Category 3', 'Category 2', 'Category 5']","['Angola', 'American Samoa', 'Algeria', 'Anguilla', 'Argentina', 'Armenia', 'Australia', 'Antigua and Barbuda', 'Aruba', 'Albania', 'Azerbaijan', 'Bahrain', 'Bangladesh', 'Andorra', 'Belarus', 'Belgium']","Specialized in dribbling, High pressing ability, Vision, Versatile, Physical, Build-up play from the back, Good long pass","Between 500,000€ and 1,000,000€",Permanent signing,iNMEDIATO,[],Yes,Unspecified,DSADSADSADSAD,10.0,0.2631578947368421,10.0,0.2631578947368421,32.0,0.8421052631578947,,Yes,Yes,DASDSADA,300K,DSADA,DASDSADA,DSASADSA,DSADSADSA,DSADSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ofi de Creta,Summer Transfer Window,Goalkeeper,Under-23,['Category 1'],['Afghanistan'],,"Less than 50,000€",Loan,,[],Yes,Unspecified,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ventana de Transferencia Verano,Portero,Sub-23,[],[],,"Menos de 50,000€",Cesión,,Sí,Sin especificar,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sí,Sí,,,,,,,,,,,
,Summer Transfer Window,Goalkeeper,Under-23,['Category 1'],['Afghanistan'],,"Less than 50,000€",Loan,,[],Yes,Unspecified,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Summer Transfer Window,Goalkeeper,Under-23,['Category 1'],['Afghanistan'],,"Less than 50,000€",Loan,,[],Yes,Unspecified,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ventana de Transferencia Verano,Portero,Sub-23,[],[],,"Menos de 50,000€",Cesión,,Sí,Sin especificar,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sí,Sí,,,,,,,,,,,
,Summer Transfer Window,Goalkeeper,Under-23,['Category 1'],['Afghanistan'],,"Less than 50,000€",Loan,,[],Yes,Unspecified,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Summer Transfer Window,Goalkeeper,Under-23,['Category 1'],['Afghanistan'],,"Less than 50,000€",Loan,,[],Yes,Unspecified,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Summer Transfer Window,Goalkeeper,Under-23,['Category 1'],['Afghanistan'],,"Less than 50,000€",Loan,,[],Yes,Unspecified,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Summer Transfer Window,Goalkeeper,Under-23,['Category 1'],['Afghanistan'],,"Less than 50,000€",Loan,,[],Yes,Unspecified,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ventana de Transferencia Verano,Portero,Sub-23,[],[],,"Menos de 50,000€",Cesión,,Sí,Sin especificar,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sí,Sí,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ventana de Transferencia Verano,Portero,Sub-23,[],[],,"Menos de 50,000€",Cesión,,Sí,Sin especificar,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sí,Sí,,,,,,,,,,,
,Summer Transfer Window,Goalkeeper,Under-23,[],[],,"Less than 50,000€",Loan,,[],Yes,Unspecified,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Summer Transfer Window,Goalkeeper,Under-23,['Category 1'],['Afghanistan'],,"Less than 50,000€",Loan,,[],Yes,Unspecified,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Summer Transfer Window,Goalkeeper,Under-23,['Category 1'],['Afghanistan'],,"Less than 50,000€",Loan,,[],Yes,Unspecified,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Summer Transfer Window,Goalkeeper,Under-23,['Category 1'],['Afghanistan'],,"Less than 50,000€",Loan,,[],Yes,Unspecified,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Summer Transfer Window,Goalkeeper,Under-23,['Category 1'],['Afghanistan'],,"Less than 50,000€",Loan,,[],Yes,Unspecified,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ventana de Transferencia Verano,Portero,Sub-23,[],[],,"Menos de 50,000€",Cesión,,Sí,Sin especificar,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sí,Sí,,,,,,,,,,,
dsadsa,Summer Transfer Window,Goalkeeper,Under-23,['Category 1'],['Afghanistan'],,"Less than 50,000€",Loan,,[],Yes,Unspecified,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dsadsa,Summer Transfer Window,Goalkeeper,Under-23,['Category 1'],['Afghanistan'],,"Less than 50,000€",Loan,,[],Yes,Unspecified,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dsadsa,Summer Transfer Window,Goalkeeper,Under-23,['Category 1'],['Afghanistan'],,"Less than 50,000€",Loan,,[],Yes,Unspecified,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dsadsad,Summer Transfer Window,Goalkeeper,Under-23,['Category 1'],['Afghanistan'],,"Less than 50,000€",Loan,,[],Yes,Unspecified,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ventana de Transferencia Verano,Portero,Sub-23,[],[],,"Menos de 50,000€",Cesión,,Sí,Sin especificar,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sí,Sí,,,,,,,,,,,
,Summer Transfer Window,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Summer Transfer Window,Goalkeeper,Under-23,['Category 1'],['Afghanistan'],,"Less than 50,000€",Loan,N/A,,Yes,Unspecified,,0.0,,0.0,,0.0,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
